Facility Permit #,Establishment Name,Facility Name,Facility Address,Facility Unit No,Facility City,Facility State,Facility Zip,Business Status,Facility Type,Permit Type,Web Site,Operational Status,Location 1
22020,Waterway Gas & Wash Company (market),Waterway Gas & Wash Company (market),8507 STATELINE ROAD ,,KANSAS CITY,MISSOURI,64114,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"8507 STATELINE ROAD
KANSAS CITY, MISSOURI 64114
(38.973903, -94.608158)"
1904,Price Chopper (Market),Price Chopper (Market),4820  N OAK TFWY,,KANSAS CITY,MISSOURI,64118,Open,Retail Grocery/Market 40001-60000 sq. ft.,Retail Grocery/Market,,Operational,"4820 N OAK TFWY
KANSAS CITY, MISSOURI 64118
(39.18188, -94.57665)"
4446,Barnes & Noble Cafe,Barnes & Noble Cafe,420 W 47th St.,,Kansas City,MISSOURI,64112,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"420 W 47th St.
Kansas City, MISSOURI 64112
(39.042418, -94.59282)"
1936,Macaluso's Thriftway,Macaluso's Thriftway,5004 NE Parvin Rd,,Kansas City,MISSOURI,64117,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"5004 NE Parvin Rd
Kansas City, MISSOURI 64117
(39.167065, -94.520853)"
4003,Worlds of Fun Mummy Yummy's,Worlds of Fun Mummy Yummy's,4545 WORLDS OF FUN AVENUE ,,KANSAS CITY,MISSOURI,64161,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,http://www.worldsoffun.com,Operational,"4545 WORLDS OF FUN AVENUE
KANSAS CITY, MISSOURI 64161
(39.174532, -94.492423)"
31432,TACO BELL,TACO BELL,1313 W. 103RD ST. ,,KANSAS CITY,MISSOURI,64114,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"1313 W. 103RD ST.
KANSAS CITY, MISSOURI 64114
(38.942053, -94.607849)"
1896,Wally's House Of Fine Pastries,Wally's House Of Fine Pastries,3855 N Oak Trfwy,,Kansas City,MISSOURI,64116,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"3855 N Oak Trfwy
Kansas City, MISSOURI 64116
(39.164979, -94.576798)"
100730,Crown Center Ice Terrace,Crown Center Ice Terrace,2555 Grand Blvd ,,Kansas City,MISSOURI,64108,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"2555 Grand Blvd
Kansas City, MISSOURI 64108
(39.080286, -94.58304)"
14942,JUBILEE SUPER MARKET (Retail),JUBILEE SUPER MARKET (Retail),2410 HARDESTY  ,,KANSAS CITY ,MISSOURI,64127,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"2410 HARDESTY
KANSAS CITY, MISSOURI 64127
(39.080846, -94.520031)"
14081,Quik Trip #224 (Retail),Quik Trip #224 (Retail),6820 E Front St,,Kansas City,MISSOURI,64120,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"6820 E Front St
Kansas City, MISSOURI 64120
(39.130281, -94.502854)"
19821,Science City Test Kitchen,Science City Test Kitchen,30 W Pershing Suite 850 ,,Kansas City,MISSOURI,64108,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"30 W Pershing Suite 850
Kansas City, MISSOURI 64108
(39.084068, -94.584514)"
100258,Oakwood Country Club Pool Snack Bar,Oakwood Country Club Pool Snack Bar,9800 Grandview Road ,,Kansas City,MISSOURI,64137,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"9800 Grandview Road
Kansas City, MISSOURI 64137
(38.947998, -94.549466)"
3089,Westridge School,Westridge School,8500 E.  77 th St,,Kansas City,MISSOURI,64138,Open,Fee Exempt,Fee Exempt,,Operational,"8500 E. 77 th St
Kansas City, MISSOURI 64138
(38.984453, -94.490012)"
1207,Pearl's Lounge,Pearl's Lounge,8736  Blue Ridge Blvd,,Kansas City,MISSOURI,64138,Open,Bar/Tavern 0-5 Employees,Bar/Tavern,,Operational,"8736 Blue Ridge Blvd
Kansas City, MISSOURI 64138
(38.965253, -94.49973)"
14840,The Classic Cookie & Cafe,The Classic Cookie & Cafe,409  W GREGORY BLVD,,KANSAS CITY,MISSOURI,64114,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"409 W GREGORY BLVD
KANSAS CITY, MISSOURI 64114
(38.999619, -94.594216)"
15590,The Sand Trap,The Sand Trap,13037 Holmes,,Kansas City,MISSOURI,64145,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"13037 Holmes
Kansas City, MISSOURI 64145
(38.890684, -94.58594)"
1297,Tanner's Bar & Grill,Tanner's Bar & Grill,7425 Broadway,,Kansas City ,MISSOURI,64114,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"7425 Broadway
Kansas City, MISSOURI 64114
(38.993053, -94.593806)"
13660,St. Gabriel's School,St. Gabriel's School,4737 N Cleveland,,Kansas City,MISSOURI,64117,Open,School - Private 0-5 Employees,School - Private,,Operational,"4737 N Cleveland
Kansas City, MISSOURI 64117
(39.181615, -94.534544)"
100651,Cascone's Grill,Cascone's Grill,17 E 5th St,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"17 E 5th St
Kansas City, MISSOURI 64106
(39.108453, -94.582144)"
4698,Hy-Vee Food Store,Hy-Vee Food Store,8301 N St Clair Ave,,Kansas City,MISSOURI,64151,Open,Retail Grocery/Market 60001-80000 sq. ft.,Retail Grocery/Market,,Operational,"8301 N St Clair Ave
Kansas City, MISSOURI 64151
(39.245209, -94.646774)"
1226,Paul's Drive-In,Paul's Drive-In,10424  Blue Ridge Blvd,,Kansas City,MISSOURI,64134,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"10424 Blue Ridge Blvd
Kansas City, MISSOURI 64134
(38.934128, -94.508152)"
101562,Family Dollar Store,Family Dollar Store,3726 Broadway ,,Kansas City,MISSOURI,64111,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"3726 Broadway
Kansas City, MISSOURI 64111
(39.060271, -94.590565)"
19901,Executive Hills Phillips 66 (deli),Executive Hills Phillips 66 (deli),9700 N. Polo Dr. ,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"9700 N. Polo Dr.
Kansas City, MISSOURI 64153
(39.271446, -94.666026)"
13280,The Central Exchange,The Central Exchange,1020 Central Ave,,Kansas City,MISSOURI,64105,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"1020 Central Ave
Kansas City, MISSOURI 64105
(39.101535, -94.586926)"
101394,In and Out (deli),In and Out (deli),1007 Main St,,Kansas City,MISSOURI,64105,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"1007 Main St
Kansas City, MISSOURI 64105
(39.101608, -94.58307)"
3027,FLEETRIDGE SCHOOL CAFETERIA,FLEETRIDGE SCHOOL CAFETERIA,13001 E 55TH ST ,,KANSAS CIty,MISSOURI,64133,Open,Fee Exempt,Fee Exempt,,Operational,"13001 E 55TH ST
KANSAS CIty, MISSOURI 64133
(39.021099, -94.428409)"
100099,Rainbow Chinese Restaurant,Rainbow Chinese Restaurant,7101 NW Barry Rd,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"7101 NW Barry Rd
Kansas City, MISSOURI 64153
(39.246862, -94.662312)"
1889,Treat America @ UMB Tech Center,Treat America @ UMB Tech Center,1008 Oak St,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"1008 Oak St
Kansas City, MISSOURI 64106
(39.101659, -94.578438)"
18143,QUIK TRIP #184 (Deli),QUIK TRIP #184 (Deli),4327 MAIN ,,KANSAS CITY,MISSOURI,64111,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"4327 MAIN
KANSAS CITY, MISSOURI 64111
(39.048333, -94.586581)"
510316,Frosty Treats #12 510316,Frosty Treats #12 510316,620  E Linwood Blvd,,Kansas City,MISSOURI,64109,Open,Ice Cream Moblie Vendor,Ice Cream Moblie Vendor,,Operational,"620 E Linwood Blvd
Kansas City, MISSOURI 64109
(39.06889, -94.577547)"
3019,Kin Lin Chinese Food,Kin Lin Chinese Food,314 E 51st St.,,Kansas City,MISSOURI,64112,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"314 E 51st St.
Kansas City, MISSOURI 64112
(39.034749, -94.583535)"
101833,Treat America @ Commerce Bank,Treat America @ Commerce Bank,811 Main St,,Kansas City,MISSOURI,64105,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"811 Main St
Kansas City, MISSOURI 64105
(39.104099, -94.582998)"
101613,Days Inn & Suites,Days Inn & Suites,8601 Hillcrest ,,Kansas City,MISSOURI,64138,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"8601 Hillcrest
Kansas City, MISSOURI 64138
(38.969105, -94.521029)"
30840,MKS Juna Texaco Inc.,MKS Juna Texaco Inc.,604 W. 75th St.,,Kansas City,MISSOURI,64114,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"604 W. 75th St.
Kansas City, MISSOURI 64114
(38.992536, -94.596725)"
2529,Winnwood Skate Center,Winnwood Skate Center,4426  NE Winn Rd,,Kansas City,MISSOURI,64117,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"4426 NE Winn Rd
Kansas City, MISSOURI 64117
(39.175735, -94.531658)"
18610,Starbuck's Coffee Cafe,Starbuck's Coffee Cafe,302  Nichols Rd.,,Kansas City,MISSOURI,64112,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"302 Nichols Rd.
Kansas City, MISSOURI 64112
(39.041391, -94.590705)"
25222,Subway #6852,Subway #6852,5914  Wilson Rd,,Kansas City,MISSOURI,64123,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"5914 Wilson Rd
Kansas City, MISSOURI 64123
(39.105717, -94.512149)"
100162,Pizza Shoppe & Pub Restaurant,Pizza Shoppe & Pub Restaurant,8584 N Church Rd ,,Kansas City,MISSOURI,64157,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"8584 N Church Rd
Kansas City, MISSOURI 64157
(39.246013, -94.45966)"
101456,Midwest Fuels,Midwest Fuels,4501 Cleveland,,Kansas City,MISSOURI,64130,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"4501 Cleveland
Kansas City, MISSOURI 64130
(39.043841, -94.540351)"
100692,Super Target-Starbucks,Super Target-Starbucks,1201 W. 136th St ,,Kansas City,MISSOURI,64145,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"1201 W. 136th St
Kansas City, MISSOURI 64145
(38.881513, -94.605217)"
25220,Price Chopper (Deli),Price Chopper (Deli),5800 Wilson Rd,,Kansas City,MISSOURI,64123,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"5800 Wilson Rd
Kansas City, MISSOURI 64123
(39.105453, -94.513944)"
19050,Sam's Club  #8207 - Cafe,Sam's Club  #8207 - Cafe,5110  N. Oak Trfwy,,Kansas City,MISSOURI,64118,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"5110 N. Oak Trfwy
Kansas City, MISSOURI 64118
(39.18659, -94.576594)"
1848,Topsy's,Topsy's,1206 E  Meyer Blvd,,Kansas City,MISSOURI,64131,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"1206 E Meyer Blvd
Kansas City, MISSOURI 64131
(39.01144, -94.573796)"
13621,Wal-Mart (deli),Wal-Mart (deli),8301 N. Church Rd.,,Kansas City,MISSOURI,64158,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"8301 N. Church Rd.
Kansas City, MISSOURI 64158
(39.243357, -94.461821)"
2609,The Piano Room,The Piano Room,8410 WORNALL ,,KANSAS CITY ,MISSOURI,64114,Open,Bar/Tavern 0-5 Employees,Bar/Tavern,,Operational,"8410 WORNALL
KANSAS CITY, MISSOURI 64114
(38.975823, -94.595017)"
101599,Family Dollar Stores Inc.  No. 1514,Family Dollar Stores Inc.  No. 1514,3156  Troost Ave.,,Kansas City,MISSOURI,64109,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"3156 Troost Ave.
Kansas City, MISSOURI 64109
(39.068965, -94.571411)"
1718,Sheraton Kansas City - Room Service,Sheraton Kansas City - Room Service,2345 McGee ,,Kansas City,MISSOURI,64108,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"2345 McGee
Kansas City, MISSOURI 64108
(39.084743, -94.58049)"
101002,Swagat Fine Indian Cuisine,Swagat Fine Indian Cuisine,7407  NW 87th. St.,,Kansas City,MISSOURI,64153,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"7407 NW 87th. St.
Kansas City, MISSOURI 64153
(39.251545, -94.665022)"
100401,McDonald's #28844 ,McDonald's #28844 ,9701 N Ash Ave ,,Kansas City,MISSOURI,64157,Open,Restaurant/Deli 41-60 Employees,Restaurant/Deli,,Operational,"9701 N Ash Ave
Kansas City, MISSOURI 64157
(39.268443, -94.451429)"
101318,Ararat Bar,Ararat Bar,5100 Ararat Drive ,,Kansas City,MISSOURI,64129,Open,Bar/Tavern 10-20 Employees,Bar/Tavern,,Operational,"5100 Ararat Drive
Kansas City, MISSOURI 64129
(39.03285, -94.503489)"
13760,Cafe al Dente,Cafe al Dente,412 Delaware St,D,Kansas City,MISSOURI,64105,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"412 Delaware St
Kansas City, MISSOURI 64105
(39.108464, -94.584223)"
100294,Subway,Subway,9223 North Oak ,,Kansas City,MISSOURI,64155,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"9223 North Oak
Kansas City, MISSOURI 64155
(39.262284, -94.575642)"
1278,McDonald's (3741 Broadway),McDonald's (3741 Broadway),3741 BROADWAY ,,KANSAS CITY,MISSOURI,64111,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"3741 BROADWAY
KANSAS CITY, MISSOURI 64111
(39.058804, -94.590644)"
14082,Quik Trip #224 (Deli),Quik Trip #224 (Deli),6820 E Front St,,Kansas City,MISSOURI,64120,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"6820 E Front St
Kansas City, MISSOURI 64120
(39.130281, -94.502854)"
4992,Ameristar Star Club,Ameristar Star Club,3220 N Ameristar Dr.,,KANSAS CITY,MISSOURI,64161,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"3220 N Ameristar Dr.
KANSAS CITY, MISSOURI 64161
(39.152593, -94.477208)"
4479,Taco Bell,Taco Bell,4900  Bannister Rd,,Kansas City,MISSOURI,64137,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"4900 Bannister Rd
Kansas City, MISSOURI 64137
(38.953519, -94.534208)"
4972,Ameristar Casino King Bar ,Ameristar Casino King Bar ,3200 N Ameristar Dr.,,Kansas City,MISSOURI,64161,Open,Bar/Tavern 0-5 Employees,Bar/Tavern,,Operational,"3200 N Ameristar Dr.
Kansas City, MISSOURI 64161
(39.150958, -94.477213)"
10157,UMKC Einstein Bros. Bagel,UMKC Einstein Bros. Bagel,5100 Rockhill Road ,,Kansas City,MISSOURI,64110,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"5100 Rockhill Road
Kansas City, MISSOURI 64110
(39.033592, -94.575731)"
3076,ST. ELIZABETH SCHOOL,ST. ELIZABETH SCHOOL,14 W. 75TH ST. ,,KANSAS CITY,MISSOURI,64114,Open,School - Private 0-5 Employees,School - Private,,Operational,"14 W. 75TH ST.
KANSAS CITY, MISSOURI 64114
(38.992135, -94.589673)"
1900,Shooters,Shooters,4108 N Oak Trfwy,,Kansas City,MISSOURI,64116,Open,Bar/Tavern 6-9 Employees,Bar/Tavern,,Operational,"4108 N Oak Trfwy
Kansas City, MISSOURI 64116
(39.168855, -94.57675)"
102022,CVS/Pharmacy,CVS/Pharmacy,5901 Independence Ave.,,Kansas City,MISSOURI,64125,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"5901 Independence Ave.
Kansas City, MISSOURI 64125
(39.104968, -94.512529)"
25762,Houston's Restaurant,Houston's Restaurant,4640 Wornall Rd.,,Kansas City,MISSOURI,64112,Open,Restaurant/Deli 91-100 Employees,Restaurant/Deli,http://www.hillstone.com,Operational,"4640 Wornall Rd.
Kansas City, MISSOURI 64112
(39.042527, -94.590148)"
1885,Lakewood School Cafeteria,Lakewood School Cafeteria,4624  N Norton,,Kansas City,MISSOURI,64117,Open,Fee Exempt,Fee Exempt,,Operational,"4624 N Norton
Kansas City, MISSOURI 64117
(39.179802, -94.531928)"
29660,STATION STOP,STATION STOP,14503 E 40 HWY ,,KANSAS CITY,MISSOURI,64136,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"14503 E 40 HWY
KANSAS CITY, MISSOURI 64136
(39.035342, -94.409032)"
1921,Nashua General Store,Nashua General Store,11103 Nashua Drive,,Kansas City,MISSOURI,64155,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"11103 Nashua Drive
Kansas City, MISSOURI 64155
(39.294977, -94.575815)"
29800,Boys & Girls Club Thornberry Unit,Boys & Girls Club Thornberry Unit,3831 E 43rd St.,,Kansas City,MISSOURI,64130,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"3831 E 43rd St.
Kansas City, MISSOURI 64130
(39.047712, -94.539521)"
100004,Price Chopper (retail),Price Chopper (retail),6327  Brookside Plz,,Kansas City,MISSOURI,64113,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"6327 Brookside Plz
Kansas City, MISSOURI 64113
(39.013299, -94.590682)"
2583,Bobby Baker's Lounge,Bobby Baker's Lounge,7418 Wornall Rd.,,Kansas City,MISSOURI,64114,Open,Bar/Tavern 0-5 Employees,Bar/Tavern,,Operational,"7418 Wornall Rd.
Kansas City, MISSOURI 64114
(38.993079, -94.594267)"
11681,DRURY INN KANSAS CITY STADIUM,DRURY INN KANSAS CITY STADIUM,3830  BLUE RIDGE CUTOFF,,Kansas City,MISSOURI,64133,Open,Restaurant/Deli 0-5 Employees,Restaurant/Deli,,Operational,"3830 BLUE RIDGE CUTOFF
Kansas City, MISSOURI 64133
(39.053141, -94.47358)"
102013,Sunfresh Blue Parkway (Deli),Sunfresh Blue Parkway (Deli),4209 E 50th Terr,,Kansas City,MISSOURI,64130,Open,Restaurant/Deli 6-9 Employees,Restaurant/Deli,,Operational,"4209 E 50th Terr
Kansas City, MISSOURI 64130
(39.033772, -94.535929)"
1423,Anthony's Rest & Lounge,Anthony's Rest & Lounge,701 Grand Blvd,,Kansas City,MISSOURI,64106,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"701 Grand Blvd
Kansas City, MISSOURI 64106
(39.105049, -94.580649)"
13547,Festival Foods,Festival Foods,4357  NE Chouteau Tfwy,,Kansas City,MISSOURI,64117,Open,Retail Grocery/Market 40001-60000 sq. ft.,Retail Grocery/Market,,Operational,"4357 NE Chouteau Tfwy
Kansas City, MISSOURI 64117
(39.186509, -94.543538)"
101393,In and Out (retail),In and Out (retail),1007 Main St,,Kansas City,MISSOURI,64105,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"1007 Main St
Kansas City, MISSOURI 64105
(39.101608, -94.58307)"
101594,Westport Flea Market,Westport Flea Market,817  Westport ,,Kansas City,MISSOURI,64111,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"817 Westport
Kansas City, MISSOURI 64111
(39.051002, -94.596243)"
100065,Target/Starbucks,Target/Starbucks,8509 State Line Rd  ,,Kansas City,MISSOURI,64114,Open,Restaurant/Deli 10-20 Employees,Restaurant/Deli,,Operational,"8509 State Line Rd
Kansas City, MISSOURI 64114
(38.974513, -94.608186)"
104053,PIZZA HUT #4725,PIZZA HUT #4725,5111 ARARAT ,,KANSAS CITY,MISSOURI,64129,Open,Restaurant/Deli 21-40 Employees,Restaurant/Deli,,Operational,"5111 ARARAT
KANSAS CITY, MISSOURI 64129
(39.032041, -94.503854)"
